filename,species,individual,Name,temperature,date,preystartdist,timeprojstart,maxproj,timemaxproj,peakprojvel,timemaxprojvel,peakprojacc,timemaxprojacc,peakmmsprojpower,timemaxprojpower,maxlunge,timemaxlunge,peaklungevel,timemaxlungevel,peaklungeacc,timemmaxlungeacc,peakbmslungepower,timemaxlungepower,maxreach,timemaxreach,tonguestartdist
Pm 003 (05) 07-Oct-24_18-30-09_00730xypts.csv,Pm,3,Pm3,5,7-Oct-24,18.73589105,0.161,5.807499842,0.272666667,0.196,0.179666667,315,0.162666667,6.663789,0.163666667,17.01978772,0.343666667,0.0651,0.234,0.936,0.201,0.042687,0.203333333,22.65886437,0.273666667,18.22513575
Pm 003 (05) 07-Oct-24_18-34-36_00731xypts.csv,Pm,3,Pm3,5,7-Oct-24,7.922909515,0.150333333,5.629227682,0.245,0.204,0.169333333,249,0.167,8.6726484,0.168,4.390784843,0.264,0.0237,0.207,2.04,0.178666667,0.0181152,0.201333333,9.719620319,0.245333333,6.91989263
Pm 003 (05) 07-Oct-24_18-36-47_00732xypts.csv,Pm,3,Pm3,5,7-Oct-24,9.307860235,0.190666667,4.92270073,0.261333333,0.237,0.215333333,278.1,0.213,11.2987746,0.214,6.961276181,0.327666667,0.0306,0.242666667,2.856,0.197666667,0.0599256,0.199666667,10.96793379,0.285666667,9.2223241
Pm 003 (05) 12-Mar-25_16_52_10_01213xypts.csv,Pm,3,Pm3,5,12-Mar-25,16.67223627,0.112333333,1.916254776,0.134666667,0.175,0.124666667,142.2,0.113333333,4.720911,0.123,13.05210368,0.150666667,0.0628,0.115666667,2.769,0.067,0.1050852,0.070333333,14.5102801,0.143,7.686823334
Pm 003 (05) 12-Mar-25_16-57-35_01215xypts.csv,Pm,3,Pm3,5,12-Mar-25,10.78615278,0.029,4.813173038,0.100333333,0.15,0.047666667,158.4,0.045333333,4.1953035,0.046333333,7.79955038,0.143,0.054,0.108333333,4.83,0.101333333,0.189216,0.104,10.79566404,0.123,9.86856455
Pm 003 (05) 12-Mar-25_17-02-54_01217xypts.csv,Pm,3,Pm3,5,12-Mar-25,17.56138908,0.069666667,4.026914661,0.139666667,0.116,0.096,232.8,0.103,3.6504168,0.07,11.06161636,0.171,0.0469,0.092666667,4.26,0.037,0.100386,0.04,14.20929663,0.143333333,15.12538285
Pm 003 (05) 12-Mar-25_17-04-48_01218xypts.csv,Pm,3,Pm3,5,12-Mar-25,22.29066033,0.205333333,4.789392813,0.293333333,0.127,0.229,189,0.205666667,3.39905592,0.227333333,14.55454907,0.29,0.0573,0.252,3.45,0.157333333,0.0975918,0.247666667,19.32943093,0.293333333,18.80235138
Pm 003 (10) 07-Aug-24_17-55-05_00598xypts.csv,Pm,3,Pm3,10,7-Aug-24,13.34131876,0.061666667,5.55605737,0.111,0.266,0.070666667,426,0.062,10.2398313,0.078,10.07549467,0.118333333,0.0654,0.095,2.826,0.136333333,0.0853074,0.087,15.26957398,0.111666667,11.60966547
Pm 003 (10) 07-Aug-24_17-57-14_00599xypts.csv,Pm,3,Pm3,10,7-Aug-24,9.955225622,0.067666667,5.850766063,0.11,0.243,0.088666667,203.1,0.068,7.6181094,0.087,6.206940081,0.135333333,0.0472,0.102,3.93,0.056666667,0.104838,0.093666667,10.79054053,0.116333333,9.367783816
Pm 003 (10) 07-Aug-24_18_03_02_00601xypts.csv,Pm,3,Pm3,10,7-Aug-24,5.695026596,0.055666667,3.769421586,0.101,0.156,0.067,173.4,0.058666667,3.884925,0.065666667,4.479536056,0.131666667,0.0295,0.092333333,1.32,0.037666667,0.0184965,0.078,7.430290053,0.103,4.9117427
