"filename","species","individual","temperature","date","preystartdist","timeprojstart","maxproj","timemaxproj","peakprojvel","timemaxprojvel","peakprojacc","timemaxprojacc","peakmmsprojpower","timemaxprojpower","maxlunge","timemaxlunge","peaklungevel","timemaxlungevel","peaklungeacc","timemmaxlungeacc","peakbmslungepower","timemaxlungepower","maxreach","timemaxreach","tonguestartdist"
"Pm 006 (15) 05-Mar-25_17-57-51_01157xypts.csv","Pm","006","15","05-Mar-25","6.10541093010383","0.0563333333333333","2.54776096502244","0.111666666666667","0.192","0.0846666666666667","167.1","0.063","4.8618486","0.0826666666666667","5.11910684138973","0.107333333333333","0.0256","0.0723333333333333","0.846","0.00866666666666667","0.013284","0.0256666666666667","7.63900081855762","0.111666666666667","3.75181255980884"
"Pm 006 (15) 05-Mar-25_18-00-04_01158xypts.csv","Pm","006","15","05-Mar-25","10.7724533910941","0.164","2.48382803579094","0.195333333333333","0.175","0.193","339","0.164333333333333","7.0000947","0.191666666666667","8.14632929809063","0.211333333333333","0.0669","0.160666666666667","5.19","0.153333333333333","0.253206","0.155","10.517951130986","0.208666666666667","7.56936567346418"
"Pm 006 (15) 05-Mar-25_18-02-05_01159xypts.csv","Pm","006","15","05-Mar-25","16.9110762542672","0.106","3.9687786524003","0.188666666666667","0.227","0.125666666666667","324","0.123333333333333","11.9678958","0.124333333333333","10.1541033474604","0.164666666666667","0.0486","0.0756666666666667","5.82","0.0653333333333333","0.140847","0.07","14.0875288226931","0.160666666666667","12.9411250533256"
"Pm 006 (15) 05-Mar-25_18-04-10_01160xypts.csv","Pm","006","15","05-Mar-25","5.62201422895237","0.091","2.27261179613759","0.117333333333333","0.229","0.0993333333333333","192","0.0973333333333333","8.6400732","0.098","5.76010479507031","0.168","0.0237","0.0906666666666667","0.843","0.135333333333333","0.0125316","0.0673333333333333","7.36020205144321","0.146","3.23343992940032"
"Pm 006 (15) 12-Feb-25_18-30-58_01012xypts.csv","Pm","006","15","12-Feb-25","7.60735279400192","0.100666666666667","2.01781585751249","0.131333333333333","0.168","0.103666666666667","399","0.101","6.7132335","0.102","5.86236071857904","0.143666666666667","0.0426","0.099","2.172","0.0916666666666667","0.0727638","0.093","7.77820092899217","0.139666666666667","4.47677437916256"
"Pm 006 (15) 17-Mar-25_19_26_22_01254xypts.csv","Pm","006","15","17-Mar-25","6.02761412049157","0.0476666666666667","1.17863494887255","0.068","0.0883","0.0583333333333333","75","0.0563333333333333","1.29240444","0.0566666666666667","4.51569605241334","0.0896666666666667","0.0324","0.0463333333333333","1.752","0.01","0.0264132","0.0383333333333333","5.32913162408005","0.07","3.74445391084742"
"Pm 006 (20) 10-Jul-24_17_29_44_00418xypts.csv","Pm","006","20","10-Jul-24","6.21759573075171","0.0406666666666667","4.34377551898464","0.0686666666666667","0.254","0.0456666666666667","205.2","0.0423333333333333","9.0093696","0.0433333333333333","3.5097642064301","0.0696666666666667","0.0326","0.053","4.41","0.0116666666666667","0.036225","0.0766666666666667","7.85056589436501","0.0686666666666667","5.00016098030485"
"Pm 006 (20) 10-Jul-24_17_33_01_00419xypts.csv","Pm","006","20","10-Jul-24","8.75743461508057","0.057","2.51072557855758","0.0823333333333333","0.268","0.061","489","0.0903333333333333","31.483266","0.0873333333333333","6.73852775930741","0.0776666666666667","0.0601","0.059","2.544","0.0133333333333333","0.0804972","0.051","9.17160347422711","0.081","4.78404605253101"
"Pm 006 (20) 10-Jul-24_17-20-18_00416xypts.csv","Pm","006","20","10-Jul-24","4.46012366409248","0.189","2.3077896669748","0.208333333333333","0.336","0.193","396","0.190333333333333","21.517914","0.191333333333333","2.84470821824967","0.204","0.0295","0.173","2.424","0.164","0.048048","0.166333333333333","5.11944132996338","0.208333333333333","1.85892235542892"
"Pm 006 (20) 10-Jul-24_17-27-01_00417xypts.csv","Pm","006","20","10-Jul-24","18.5201762559709","0.0573333333333333","5.83104152025185","0.110666666666667","0.321","0.0863333333333333","399","0.0836666666666667","20.652012","0.0846666666666667","16.1008324610218","0.137666666666667","0.0873","0.0773333333333333","1.71","0.0323333333333333","0.0963585","0.0693333333333333","21.0834401650937","0.111333333333333","14.0782620719036"
"Pm 006 (20) 10-Jul-24_17-35-29_00420xypts.csv","Pm","006","20","10-Jul-24","7.43084271530566","0.0416666666666667","3.91608746987814","0.0663333333333333","0.25","0.051","174.9","0.0493333333333333","11.7612261","0.069","4.7493953800122","0.0703333333333333","0.0406","0.0426666666666667","2.82","0.0886666666666667","0.0539172","0.078","8.63618980758999","0.0666666666666667","5.11310382442139"
"Pm 006 (25) 15-Jul-24_19_38_59_00479xypts.csv","Pm","006","25","15-Jul-24","9.5143355725219","0.0433333333333333","4.79210980586651","0.0753333333333333","0.29","0.057","298.5","0.045","11.8706688","0.0766666666666667","9.18733811386562","0.0803333333333333","0.0724","0.058","3.45","0.097","0.1160754","0.028","13.8226489734488","0.076","5.7416493543705"
"Pm 006 (25) 15-Jul-24_19-30-32_00476xypts.csv","Pm","006","25","15-Jul-24","12.8641829133505","0.129666666666667","4.39088317662018","0.168","0.457","0.150666666666667","657","0.148333333333333","46.189473","0.149333333333333","10.5020409979764","0.174","0.0674","0.143","2.283","0.105333333333333","0.0950544","0.133","14.8170473217833","0.171666666666667","10.0042087094422"
"Pm 006 (25) 15-Jul-24_19-43-02_00481xypts.csv","Pm","006","25","15-Jul-24","13.7315012752339","0.043","5.93836763444449","0.0723333333333333","0.261","0.058","462","0.0456666666666667","16.691466","0.0463333333333333","15.9173913406252","0.134666666666667","0.102","0.0646666666666667","8.34","0.117666666666667","0.2322","0.121","19.9797035274122","0.100333333333333","9.46634230135802"
"Pm 006 (25) 19-Mar-25_17_22_48_01267xypts.csv","Pm","006","25","19-Mar-25","10.191758910232","0.0756666666666667","2.60635122268043","0.111666666666667","0.228","0.0803333333333333","253.2","0.0773333333333333","9.0652959","0.0783333333333333","6.31913850990848","0.121666666666667","0.0313","0.08","1.941","0.0406666666666667","0.0288288","0.043","8.7728925069456","0.113","7.3714422326149"
"Pm 006 (25) 19-Mar-25_17-18-36_01266xypts.csv","Pm","006","25","19-Mar-25","2.9838354816389","0.09","1.84988100734717","0.142","0.141","0.0966666666666667","450","0.0946666666666667","14.83335","0.0916666666666667","7.53968423726785","0.153333333333333","0.0383","0.0926666666666667","2.049","0.058","0.0375732","0.0613333333333333","9.27101658348568","0.142333333333333","1.09230736232175"
